"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-19","17.22",,"0.00","0.0","0.0","31","42","21","  310","  290","40.0","50.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-20","14.54",,"0.00","0.0","0.0","27","34","21","  310","  300","30.0","38.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-21","7.61",,"0.00","0.0","0.0","37","48","30","  230","  220","15.0","19.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-22","14.99",,"0.14","0.0","0.0","42","53","33","  190","  190","36.0","45.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-23","13.87",,"0.00","0.0","0.0","54","69","35","  330","  270","32.0","40.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-24","10.74",,"0.00","0.0","0.0","35","35","29","  330","  330","23.0","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-25","14.32",,"0.78","0.3","0.0","34","45","26","  330","  290","29.1","38.9","    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-26","13.42",,"0.00","0.0","0.0","30","38","24","  330","  330","23.9","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-27","19.01",,"0.00","0.0","0.0","36","48","29","  310","  310","33.1","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-28","12.30",,"0.00","0.0","0.0","34","37","27","  320","  330","28.0","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-01","9.84",,"0.00","0.0","0.0","35","45","28","  170","  160","18.1","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-02","12.30",,"0.00","0.0","0.0","44","52","38","  180","  310","19.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-03","18.34",,"0.08","0.0","0.0","42","45","25","  330","  320","31.1","36.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-04","9.62",,"0.00","0.0","0.0","27","36","19","  340","  330","21.0","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-05","7.38",,"0.00","0.0","0.0","35","45","27","  150","  150","15.0","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-06","7.38",,"0.05","0.0","0.0","47","62","44","  190","  190","17.0","21.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-07","15.21",,"0.06","0.0","0.0","53","61","48","  280","  270","35.1","46.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-08","17.00",,"0.00","0.0","0.0","47","53","37","  320","  300","32.0","42.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-09","9.62",,"0.61","0.2","0.0","37","40","33","  140","  140","18.1","23.0","    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-10","5.37",,"0.00","0.0","0.0","38","50","30","  210","   10","13.0","15.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-11","6.71",,"0.00","0.0","0.0","41","50","30","  140","  130","17.0","19.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-12","19.91",,"0.50","0.3","0.0","40","46","24","  320","  270","42.9","53.9","    1","    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-13","18.34",,"0.00","0.0","0.0","28","35","22","  290","  310","33.1","46.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-14","14.32",,"0.00","0.0","0.0","41","55","33","  200","  230","18.1","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-15","8.28",,"0.00","0.0","0.0","47","58","38","  340","  340","14.1","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-16","8.05",,"0.00","0.0","0.0","52","62","41","  130","  130","18.1","21.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-17","9.17",,"0.06","0.0","0.0","49","55","45","   40","  350","14.1","18.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-18","8.05",,"0.00","0.0","0.0","54","63","46","  330","  320","15.0","17.0","    1","    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-19","8.95",,"0.18","0.0","0.0","52","60","46","  190","  190","23.9","30.0","    1","    1","    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-20","17.90",,"0.00","0.0","0.0","56","62","46","  310","  310","31.1","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-21","16.78",,"0.00","0.0","0.0","52","63","45","  320","  310","30.0","38.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-22","16.11",,"0.00","0.0","0.0","53","60","46","  310","  310","25.1","33.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-23","12.75",,"0.07","0.0","0.0","44","47","39","   80","   60","21.0","28.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-24","14.32",,"0.93","0.0","0.0","44","47","41","   90","   90","30.0","40.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-25","11.86",,"0.03","0.0","0.0","49","57","44","  270","  280","28.0","32.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-26","13.42",,"0.00","0.0","0.0","50","54","42","  250","  250","29.1","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-27","19.01",,"0.00","0.0","0.0","43","47","29","  270","  270","35.1","46.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-28","22.82",,"0.00","0.0","0.0","30","34","23","  330","  320","33.1","42.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-29","20.58",,"0.00","0.0","0.0","30","38","24","  320","  310","30.0","36.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-30","9.40",,"0.00","0.0","0.0","35","44","27","  180","  180","19.9","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-03-31","21.25",,"0.05","0.0","0.0","49","57","44","  180","  180","42.9","53.0","    1","    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-01","20.13",,"0.08","0.0","0.0","54","59","43","  300","  300","33.1","48.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-02","16.11",,"0.00","0.0","0.0","45","52","39","  300","  310","29.1","38.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-03","8.50",,"0.10","0.0","0.0","43","46","38","  320","  320","25.1","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-04","13.20",,"0.00","0.0","0.0","46","55","39","  320","  320","21.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-05","6.93",,"0.06","0.0","0.0","47","53","38","   80","  140","15.0","19.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-06","14.99",,"0.54","0.0","0.0","49","54","47","   50","   40","25.9","34.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-07","17.90",,"0.45","0.0","0.0","48","52","45","  100","  100","33.1","42.9","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-08","13.42",,"0.04","0.0","0.0","53","63","48","  230","  230","23.9","27.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-09","10.96",,"0.02","0.0","0.0","51","57","47","  250","  260","25.9","31.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-10","20.13",,"0.00","0.0","0.0","48","52","43","  310","  320","30.0","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-11","13.65",,"0.00","0.0","0.0","47","56","39","  190","  180","21.0","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-12","8.72",,"0.02","0.0","0.0","54","72","47","  320","  320","18.1","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-13","7.83",,"0.00","0.0","0.0","55","65","46","  130","  130","21.0","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-14","11.18",,"0.08","0.0","0.0","60","70","53","  320","  320","28.0","33.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-15","14.99",,"0.01","0.0","0.0","59","67","46","  180","  180","31.1","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-16","14.99",,"0.09","0.0","0.0","54","62","45","  180","  190","29.1","35.1",,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-17","15.88",,"0.00","0.0","0.0","47","52","40","  320","  320","29.1","36.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-18","14.99",,"0.96","0.0","0.0","44","52","37","   70","   60","30.0","40.0","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-19","21.70",,"0.59","0.0","0.0","46","52","40","   80","   90","35.1","48.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-20","13.87",,"0.00","0.0","0.0","48","60","41","  320","  320","25.9","33.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-21","12.30",,"0.00","0.0","0.0","48","56","40","  170","  170","25.9","36.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-22","12.97",,"0.00","0.0","0.0","57","70","45","  290","  360","25.1","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-23","8.05",,"0.00","0.0","0.0","55","59","48","  150","  320","14.1","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-24","11.63",,"0.00","0.0","0.0","52","60","45","  100","  110","25.9","32.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-25","10.07",,"0.00","0.0","0.0","49","55","44","   90","   90","18.1","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-26","7.38",,"0.06","0.0","0.0","54","60","51","  330","  320","17.0","19.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-27","21.70",,"0.00","0.0","0.0","53","58","41","  320","  300","30.0","40.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-28","21.92",,"0.00","0.0","0.0","47","58","40","  330","  300","36.9","46.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-29","18.12",,"0.00","0.0","0.0","51","63","42","  330","  320","30.0","36.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-04-30","11.41",,"0.00","0.0","0.0","54","66","44","  190","  360","21.0","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-01","8.50",,"0.00","0.0","0.0","53","63","42","  170","  170","17.0","21.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-02","9.62",,"0.51","0.0","0.0","54","55","50","  130","  130","23.9","30.0","    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-03","10.96",,"0.00","0.0","0.0","54","62","49","   90","  100","19.9","23.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-04","6.49",,"0.04","0.0","0.0","53","66","49","   10","   20","15.0","18.1","    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-05","10.51",,"0.00","0.0","0.0","60","70","54","  350","  330","18.1","23.9",,,,,
